"col_yeux";"col_cheveux"
"obs793";"MEDIUM";"Red"
"obs794";"MEDIUM";"Dark"
"obs795";"MEDIUM";"Fair"
"obs796";"MEDIUM";"Fair"
"obs797";"LIGHT";"Fair"
"obs798";"MEDIUM";"Dark"
"obs799";"LIGHT";"Medium"
"obs800";"LIGHT";"Medium"
"obs801";"MEDIUM";"Dark"
"obs802";"DARK";"Fair"
"obs803";"MEDIUM";"Medium"
"obs804";"DARK";"Medium"
"obs805";"DARK";"Medium"
"obs806";"LIGHT";"Medium"
"obs807";"MEDIUM";"Medium"
"obs808";"LIGHT";"Fair"
"obs809";"LIGHT";"Medium"
"obs810";"LIGHT";"Medium"
"obs811";"BLUE";"Fair"
"obs812";"MEDIUM";"Medium"
"obs813";"MEDIUM";"Medium"
"obs814";"MEDIUM";"Medium"
"obs815";"BLUE";"Medium"
"obs816";"DARK";"Medium"
"obs817";"DARK";"Dark"
"obs818";"BLUE";"Fair"
"obs819";"BLUE";"Fair"
"obs820";"MEDIUM";"Fair"
"obs821";"LIGHT";"Fair"
"obs822";"LIGHT";"Fair"
"obs823";"LIGHT";"Red"
"obs824";"MEDIUM";"Fair"
"obs825";"LIGHT";"Fair"
"obs826";"LIGHT";"Fair"
"obs827";"BLUE";"Fair"
"obs828";"LIGHT";"Fair"
"obs829";"DARK";"Dark"
"obs830";"MEDIUM";"Fair"
"obs831";"LIGHT";"Fair"
"obs832";"BLUE";"Fair"
"obs833";"MEDIUM";"Medium"
"obs834";"MEDIUM";"Medium"
"obs835";"MEDIUM";"Fair"
"obs836";"DARK";"Red"
"obs837";"MEDIUM";"Fair"
"obs838";"MEDIUM";"Medium"
"obs839";"DARK";"Medium"
"obs840";"BLUE";"Medium"
"obs841";"MEDIUM";"Fair"
"obs842";"DARK";"Medium"
"obs843";"LIGHT";"Fair"
"obs844";"MEDIUM";"Medium"
"obs845";"MEDIUM";"Dark"
"obs846";"LIGHT";"Fair"
"obs847";"MEDIUM";"Medium"
"obs848";"LIGHT";"Dark"
"obs849";"MEDIUM";"Medium"
"obs850";"LIGHT";"Medium"
"obs851";"BLUE";"Fair"
"obs852";"MEDIUM";"Fair"
"obs853";"DARK";"Black"
"obs854";"MEDIUM";"Dark"
"obs855";"BLUE";"Fair"
"obs856";"LIGHT";"Fair"
"obs857";"LIGHT";"Medium"
"obs858";"MEDIUM";"Medium"
"obs859";"LIGHT";"Medium"
"obs860";"MEDIUM";"Medium"
"obs861";"BLUE";"Fair"
"obs862";"BLUE";"Fair"
"obs863";"DARK";"Dark"
"obs864";"DARK";"Dark"
"obs865";"MEDIUM";"Fair"
"obs866";"BLUE";"Fair"
"obs867";"LIGHT";"Fair"
"obs868";"MEDIUM";"Medium"
"obs869";"MEDIUM";"Fair"
"obs870";"DARK";"Dark"
"obs871";"LIGHT";"Fair"
"obs872";"MEDIUM";"Dark"
"obs873";"MEDIUM";"Medium"
"obs874";"BLUE";"Fair"
"obs875";"LIGHT";"Fair"
"obs876";"BLUE";"Medium"
"obs877";"DARK";"Dark"
"obs878";"LIGHT";"Medium"
"obs879";"LIGHT";"Medium"
"obs880";"LIGHT";"Fair"
"obs881";"LIGHT";"Fair"
"obs882";"LIGHT";"Fair"
"obs883";"DARK";"Medium"
"obs884";"DARK";"Medium"
"obs885";"LIGHT";"Fair"
"obs886";"LIGHT";"Fair"
"obs887";"BLUE";"Medium"
"obs888";"BLUE";"Medium"
"obs889";"MEDIUM";"Dark"
"obs890";"BLUE";"Medium"
"obs891";"BLUE";"Medium"
"obs892";"LIGHT";"Fair"
"obs893";"MEDIUM";"Medium"
"obs894";"DARK";"Medium"
"obs895";"BLUE";"Fair"
"obs896";"MEDIUM";"Black"
"obs897";"DARK";"Medium"
"obs898";"LIGHT";"Dark"
"obs899";"BLUE";"Medium"
"obs900";"LIGHT";"Fair"
"obs901";"MEDIUM";"Fair"
"obs902";"DARK";"Dark"
"obs903";"BLUE";"Fair"
"obs904";"LIGHT";"Fair"
"obs905";"LIGHT";"Fair"
"obs906";"MEDIUM";"Dark"
"obs907";"MEDIUM";"Medium"
"obs908";"LIGHT";"Fair"
"obs909";"MEDIUM";"Medium"
"obs910";"DARK";"Dark"
"obs911";"DARK";"Medium"
"obs912";"MEDIUM";"Medium"
"obs913";"LIGHT";"Medium"
"obs914";"LIGHT";"Fair"
"obs915";"LIGHT";"Medium"
"obs916";"BLUE";"Fair"
"obs917";"BLUE";"Fair"
"obs918";"DARK";"Dark"
"obs919";"DARK";"Dark"
"obs920";"MEDIUM";"Medium"
"obs921";"MEDIUM";"Medium"
"obs922";"LIGHT";"Fair"
"obs923";"MEDIUM";"Medium"
"obs924";"MEDIUM";"Medium"
"obs925";"BLUE";"Medium"
"obs926";"MEDIUM";"Red"
"obs927";"MEDIUM";"Dark"
"obs928";"MEDIUM";"Medium"
"obs929";"LIGHT";"Medium"
"obs930";"DARK";"Dark"
"obs931";"DARK";"Red"
"obs932";"MEDIUM";"Medium"
"obs933";"DARK";"Dark"
"obs934";"LIGHT";"Fair"
"obs935";"BLUE";"Fair"
"obs936";"MEDIUM";"Fair"
"obs937";"LIGHT";"Fair"
"obs938";"DARK";"Fair"
"obs939";"LIGHT";"Dark"
"obs940";"LIGHT";"Medium"
"obs941";"DARK";"Dark"
"obs942";"LIGHT";"Medium"
"obs943";"LIGHT";"Fair"
"obs944";"MEDIUM";"Red"
"obs945";"LIGHT";"Fair"
"obs946";"MEDIUM";"Medium"
"obs947";"LIGHT";"Medium"
"obs948";"LIGHT";"Dark"
"obs949";"LIGHT";"Medium"
"obs950";"MEDIUM";"Medium"
"obs951";"MEDIUM";"Medium"
"obs952";"MEDIUM";"Red"
"obs953";"DARK";"Dark"
"obs954";"MEDIUM";"Medium"
"obs955";"MEDIUM";"Dark"
"obs956";"MEDIUM";"Medium"
"obs957";"LIGHT";"Medium"
"obs958";"DARK";"Dark"
"obs959";"MEDIUM";"Medium"
"obs960";"DARK";"Dark"
"obs961";"LIGHT";"Fair"
"obs962";"LIGHT";"Medium"
"obs963";"BLUE";"Medium"
"obs964";"LIGHT";"Red"
"obs965";"LIGHT";"Fair"
"obs966";"LIGHT";"Fair"
"obs967";"DARK";"Dark"
"obs968";"MEDIUM";"Fair"
"obs969";"LIGHT";"Fair"
"obs970";"DARK";"Medium"
"obs971";"DARK";"Dark"
"obs972";"LIGHT";"Medium"
"obs973";"LIGHT";"Medium"
"obs974";"MEDIUM";"Medium"
"obs975";"DARK";"Dark"
"obs976";"MEDIUM";"Dark"
"obs977";"MEDIUM";"Medium"
"obs978";"MEDIUM";"Medium"
"obs979";"LIGHT";"Red"
"obs980";"DARK";"Dark"
"obs981";"BLUE";"Dark"
"obs982";"MEDIUM";"Fair"
"obs983";"MEDIUM";"Fair"
"obs984";"DARK";"Dark"
"obs985";"DARK";"Dark"
"obs986";"DARK";"Dark"
"obs987";"LIGHT";"Dark"
"obs988";"LIGHT";"Fair"
"obs989";"LIGHT";"Dark"
"obs990";"MEDIUM";"Dark"
"obs991";"LIGHT";"Fair"
"obs992";"BLUE";"Fair"
"obs993";"LIGHT";"Medium"
"obs994";"DARK";"Medium"
"obs995";"LIGHT";"Fair"
"obs996";"BLUE";"Fair"
"obs997";"MEDIUM";"Medium"
"obs998";"DARK";"Medium"
"obs999";"LIGHT";"Medium"
"obs1000";"DARK";"Fair"
"obs1001";"DARK";"Black"
"obs1002";"MEDIUM";"Fair"
"obs1003";"DARK";"Medium"
"obs1004";"MEDIUM";"Medium"
"obs1005";"BLUE";"Red"
"obs1006";"MEDIUM";"Fair"
"obs1007";"LIGHT";"Medium"
"obs1008";"DARK";"Dark"
"obs1009";"MEDIUM";"Medium"
"obs1010";"BLUE";"Medium"
"obs1011";"DARK";"Medium"
"obs1012";"BLUE";"Medium"
"obs1013";"BLUE";"Medium"
"obs1014";"MEDIUM";"Medium"
"obs1015";"MEDIUM";"Fair"
"obs1016";"BLUE";"Fair"
"obs1017";"LIGHT";"Dark"
"obs1018";"BLUE";"Fair"
"obs1019";"MEDIUM";"Medium"
"obs1020";"DARK";"Dark"
"obs1021";"LIGHT";"Medium"
"obs1022";"BLUE";"Fair"
"obs1023";"MEDIUM";"Medium"
"obs1024";"MEDIUM";"Medium"
"obs1025";"BLUE";"Fair"
"obs1026";"LIGHT";"Fair"
"obs1027";"DARK";"Dark"
"obs1028";"DARK";"Medium"
"obs1029";"DARK";"Dark"
"obs1030";"MEDIUM";"Fair"
"obs1031";"MEDIUM";"Dark"
"obs1032";"MEDIUM";"Fair"
"obs1033";"LIGHT";"Fair"
"obs1034";"MEDIUM";"Dark"
"obs1035";"MEDIUM";"Medium"
"obs1036";"MEDIUM";"Medium"
"obs1037";"BLUE";"Fair"
"obs1038";"LIGHT";"Fair"
"obs1039";"MEDIUM";"Medium"
"obs1040";"LIGHT";"Fair"
"obs1041";"DARK";"Dark"
"obs1042";"MEDIUM";"Fair"
"obs1043";"DARK";"Dark"
"obs1044";"LIGHT";"Fair"
"obs1045";"DARK";"Dark"
"obs1046";"LIGHT";"Red"
"obs1047";"BLUE";"Medium"
"obs1048";"LIGHT";"Medium"
"obs1049";"LIGHT";"Dark"
"obs1050";"MEDIUM";"Fair"
"obs1051";"LIGHT";"Fair"
"obs1052";"LIGHT";"Fair"
"obs1053";"MEDIUM";"Medium"
"obs1054";"DARK";"Fair"
"obs1055";"MEDIUM";"Fair"
"obs1056";"DARK";"Dark"
"obs1057";"DARK";"Medium"
"obs1058";"DARK";"Medium"
"obs1059";"LIGHT";"Fair"
"obs1060";"DARK";"Medium"
"obs1061";"MEDIUM";"Medium"
"obs1062";"BLUE";"Medium"
"obs1063";"LIGHT";"Fair"
"obs1064";"LIGHT";"Dark"
"obs1065";"LIGHT";"Medium"
"obs1066";"LIGHT";"Dark"
"obs1067";"LIGHT";"Fair"
"obs1068";"MEDIUM";"Dark"
"obs1069";"DARK";"Medium"
"obs1070";"DARK";"Dark"
"obs1071";"MEDIUM";"Medium"
"obs1072";"LIGHT";"Medium"
"obs1073";"DARK";"Black"
"obs1074";"MEDIUM";"Fair"
"obs1075";"LIGHT";"Medium"
"obs1076";"LIGHT";"Medium"
"obs1077";"LIGHT";"Medium"
"obs1078";"MEDIUM";"Medium"
"obs1079";"MEDIUM";"Medium"
"obs1080";"DARK";"Dark"
"obs1081";"DARK";"Dark"
"obs1082";"LIGHT";"Fair"
"obs1083";"MEDIUM";"Dark"
"obs1084";"MEDIUM";"Dark"
"obs1085";"BLUE";"Medium"
"obs1086";"DARK";"Dark"
"obs1087";"LIGHT";"Dark"
"obs1088";"LIGHT";"Fair"
"obs1089";"LIGHT";"Medium"
"obs1090";"MEDIUM";"Medium"
"obs1091";"BLUE";"Dark"
"obs1092";"MEDIUM";"Medium"
"obs1093";"MEDIUM";"Fair"
"obs1094";"LIGHT";"Medium"
"obs1095";"LIGHT";"Fair"
"obs1096";"DARK";"Dark"
"obs1097";"MEDIUM";"Medium"
"obs1098";"DARK";"Dark"
"obs1099";"DARK";"Dark"
"obs1100";"LIGHT";"Medium"
"obs1101";"MEDIUM";"Medium"
"obs1102";"LIGHT";"Medium"
"obs1103";"DARK";"Medium"
"obs1104";"MEDIUM";"Black"
"obs1105";"BLUE";"Medium"
"obs1106";"BLUE";"Medium"
"obs1107";"DARK";"Dark"
"obs1108";"DARK";"Dark"
"obs1109";"BLUE";"Dark"
"obs1110";"BLUE";"Fair"
"obs1111";"LIGHT";"Medium"
"obs1112";"MEDIUM";"Dark"
"obs1113";"DARK";"Medium"
"obs1114";"MEDIUM";"Fair"
"obs1115";"LIGHT";"Medium"
"obs1116";"MEDIUM";"Medium"
"obs1117";"MEDIUM";"Dark"
"obs1118";"DARK";"Dark"
"obs1119";"MEDIUM";"Dark"
"obs1120";"DARK";"Dark"
"obs1121";"MEDIUM";"Medium"
"obs1122";"MEDIUM";"Medium"
"obs1123";"MEDIUM";"Dark"
"obs1124";"LIGHT";"Red"
"obs1125";"DARK";"Dark"
"obs1126";"DARK";"Dark"
"obs1127";"LIGHT";"Fair"
"obs1128";"LIGHT";"Medium"
"obs1129";"MEDIUM";"Fair"
"obs1130";"MEDIUM";"Medium"
"obs1131";"LIGHT";"Fair"
"obs1132";"BLUE";"Black"
"obs1133";"LIGHT";"Medium"
"obs1134";"DARK";"Dark"
"obs1135";"BLUE";"Fair"
"obs1136";"MEDIUM";"Medium"
"obs1137";"MEDIUM";"Medium"
"obs1138";"LIGHT";"Fair"
"obs1139";"MEDIUM";"Medium"
"obs1140";"LIGHT";"Fair"
"obs1141";"LIGHT";"Medium"
"obs1142";"DARK";"Medium"
"obs1143";"LIGHT";"Fair"
"obs1144";"DARK";"Dark"
"obs1145";"LIGHT";"Medium"
"obs1146";"DARK";"Medium"
"obs1147";"LIGHT";"Dark"
"obs1148";"MEDIUM";"Medium"
"obs1149";"MEDIUM";"Dark"
"obs1150";"MEDIUM";"Red"
"obs1151";"DARK";"Dark"
"obs1152";"LIGHT";"Fair"
"obs1153";"MEDIUM";"Medium"
"obs1154";"MEDIUM";"Dark"
"obs1155";"BLUE";"Dark"
"obs1156";"DARK";"Dark"
"obs1157";"MEDIUM";"Medium"
"obs1158";"LIGHT";"Medium"
"obs1159";"DARK";"Dark"
"obs1160";"DARK";"Dark"
"obs1161";"LIGHT";"Medium"
"obs1162";"DARK";"Dark"
"obs1163";"MEDIUM";"Fair"
"obs1164";"MEDIUM";"Dark"
"obs1165";"BLUE";"Medium"
"obs1166";"BLUE";"Fair"
"obs1167";"MEDIUM";"Medium"
"obs1168";"BLUE";"Red"
"obs1169";"LIGHT";"Medium"
"obs1170";"BLUE";"Fair"
"obs1171";"MEDIUM";"Medium"
"obs1172";"LIGHT";"Medium"
"obs1173";"DARK";"Dark"
"obs1174";"MEDIUM";"Red"
"obs1175";"DARK";"Black"
"obs1176";"BLUE";"Fair"
"obs1177";"DARK";"Dark"
"obs1178";"DARK";"Dark"
"obs1179";"LIGHT";"Medium"
"obs1180";"MEDIUM";"Medium"
"obs1181";"LIGHT";"Fair"
"obs1182";"MEDIUM";"Medium"
"obs1183";"MEDIUM";"Fair"
"obs1184";"BLUE";"Medium"
"obs1185";"DARK";"Medium"
"obs1186";"BLUE";"Medium"
"obs1187";"BLUE";"Dark"
"obs1188";"DARK";"Medium"
"obs1189";"DARK";"Medium"
"obs1190";"MEDIUM";"Medium"
"obs1191";"DARK";"Dark"
"obs1192";"MEDIUM";"Fair"
"obs1193";"DARK";"Dark"
"obs1194";"BLUE";"Dark"
"obs1195";"MEDIUM";"Dark"
"obs1196";"MEDIUM";"Medium"
"obs1197";"MEDIUM";"Medium"
"obs1198";"DARK";"Medium"
"obs1199";"MEDIUM";"Fair"
"obs1200";"MEDIUM";"Medium"
"obs1201";"LIGHT";"Medium"
"obs1202";"LIGHT";"Dark"
"obs1203";"BLUE";"Medium"
"obs1204";"MEDIUM";"Fair"
"obs1205";"LIGHT";"Dark"
"obs1206";"MEDIUM";"Fair"
"obs1207";"DARK";"Dark"
"obs1208";"DARK";"Dark"
"obs1209";"DARK";"Dark"
"obs1210";"MEDIUM";"Medium"
"obs1211";"MEDIUM";"Dark"
"obs1212";"BLUE";"Medium"
"obs1213";"DARK";"Black"
"obs1214";"LIGHT";"Red"
"obs1215";"MEDIUM";"Medium"
"obs1216";"DARK";"Dark"
"obs1217";"DARK";"Red"
"obs1218";"LIGHT";"Fair"
"obs1219";"LIGHT";"Fair"
"obs1220";"LIGHT";"Medium"
"obs1221";"BLUE";"Medium"
"obs1222";"MEDIUM";"Medium"
"obs1223";"MEDIUM";"Dark"
"obs1224";"BLUE";"Medium"
"obs1225";"LIGHT";"Medium"
"obs1226";"MEDIUM";"Medium"
"obs1227";"DARK";"Medium"
"obs1228";"LIGHT";"Fair"
"obs1229";"DARK";"Dark"
"obs1230";"LIGHT";"Fair"
"obs1231";"LIGHT";"Red"
"obs1232";"MEDIUM";"Medium"
"obs1233";"BLUE";"Medium"
"obs1234";"LIGHT";"Red"
"obs1235";"DARK";"Dark"
"obs1236";"LIGHT";"Medium"
"obs1237";"LIGHT";"Fair"
"obs1238";"DARK";"Fair"
"obs1239";"MEDIUM";"Dark"
"obs1240";"DARK";"Fair"
"obs1241";"DARK";"Dark"
"obs1242";"LIGHT";"Red"
"obs1243";"LIGHT";"Dark"
"obs1244";"MEDIUM";"Red"
"obs1245";"DARK";"Dark"
"obs1246";"LIGHT";"Medium"
"obs1247";"LIGHT";"Dark"
"obs1248";"LIGHT";"Red"
"obs1249";"LIGHT";"Dark"
"obs1250";"LIGHT";"Medium"
"obs1251";"LIGHT";"Fair"
"obs1252";"MEDIUM";"Fair"
"obs1253";"MEDIUM";"Medium"
"obs1254";"MEDIUM";"Medium"
"obs1255";"DARK";"Dark"
"obs1256";"DARK";"Dark"
"obs1257";"MEDIUM";"Fair"
"obs1258";"LIGHT";"Fair"
"obs1259";"LIGHT";"Medium"
"obs1260";"MEDIUM";"Fair"
"obs1261";"MEDIUM";"Fair"
"obs1262";"LIGHT";"Medium"
"obs1263";"DARK";"Black"
"obs1264";"BLUE";"Fair"
"obs1265";"MEDIUM";"Dark"
"obs1266";"BLUE";"Medium"
"obs1267";"DARK";"Medium"
"obs1268";"BLUE";"Fair"
"obs1269";"LIGHT";"Medium"
"obs1270";"LIGHT";"Medium"
"obs1271";"DARK";"Dark"
"obs1272";"DARK";"Dark"
"obs1273";"LIGHT";"Medium"
"obs1274";"LIGHT";"Fair"
"obs1275";"MEDIUM";"Medium"
"obs1276";"MEDIUM";"Medium"
"obs1277";"BLUE";"Red"
"obs1278";"LIGHT";"Dark"
"obs1279";"BLUE";"Dark"
"obs1280";"MEDIUM";"Fair"
"obs1281";"MEDIUM";"Medium"
"obs1282";"MEDIUM";"Fair"
"obs1283";"MEDIUM";"Medium"
"obs1284";"MEDIUM";"Dark"
"obs1285";"BLUE";"Medium"
"obs1286";"LIGHT";"Fair"
"obs1287";"DARK";"Fair"
"obs1288";"BLUE";"Fair"
"obs1289";"MEDIUM";"Medium"
"obs1290";"MEDIUM";"Medium"
"obs1291";"DARK";"Dark"
"obs1292";"MEDIUM";"Medium"
"obs1293";"MEDIUM";"Medium"
"obs1294";"DARK";"Medium"
"obs1295";"MEDIUM";"Medium"
"obs1296";"MEDIUM";"Medium"
"obs1297";"DARK";"Fair"
"obs1298";"MEDIUM";"Dark"
"obs1299";"BLUE";"Fair"
"obs1300";"MEDIUM";"Fair"
"obs1301";"MEDIUM";"Medium"
"obs1302";"BLUE";"Medium"
"obs1303";"MEDIUM";"Medium"
"obs1304";"DARK";"Dark"
"obs1305";"LIGHT";"Medium"
"obs1306";"MEDIUM";"Medium"
"obs1307";"BLUE";"Fair"
"obs1308";"MEDIUM";"Medium"
"obs1309";"DARK";"Dark"
"obs1310";"MEDIUM";"Medium"
"obs1311";"LIGHT";"Fair"
"obs1312";"DARK";"Medium"
"obs1313";"LIGHT";"Fair"
"obs1314";"DARK";"Dark"
"obs1315";"MEDIUM";"Medium"
"obs1316";"LIGHT";"Medium"
"obs1317";"DARK";"Fair"
"obs1318";"BLUE";"Medium"
"obs1319";"MEDIUM";"Fair"
"obs1320";"LIGHT";"Fair"
"obs1321";"BLUE";"Fair"
"obs1322";"DARK";"Medium"
"obs1323";"MEDIUM";"Medium"
"obs1324";"BLUE";"Fair"
"obs1325";"MEDIUM";"Medium"
"obs1326";"LIGHT";"Fair"
"obs1327";"MEDIUM";"Dark"
"obs1328";"BLUE";"Fair"
"obs1329";"LIGHT";"Fair"
"obs1330";"LIGHT";"Fair"
"obs1331";"LIGHT";"Red"
"obs1332";"BLUE";"Medium"
"obs1333";"DARK";"Dark"
"obs1334";"DARK";"Dark"
"obs1335";"DARK";"Medium"
"obs1336";"DARK";"Black"
"obs1337";"LIGHT";"Fair"
"obs1338";"MEDIUM";"Medium"
"obs1339";"MEDIUM";"Red"
"obs1340";"LIGHT";"Fair"
"obs1341";"LIGHT";"Fair"
"obs1342";"DARK";"Medium"
"obs1343";"MEDIUM";"Fair"
"obs1344";"MEDIUM";"Dark"
"obs1345";"MEDIUM";"Red"
"obs1346";"MEDIUM";"Fair"
"obs1347";"MEDIUM";"Fair"
"obs1348";"MEDIUM";"Medium"
"obs1349";"DARK";"Medium"
"obs1350";"MEDIUM";"Dark"
"obs1351";"DARK";"Red"
"obs1352";"MEDIUM";"Medium"
"obs1353";"MEDIUM";"Medium"
"obs1354";"LIGHT";"Medium"
"obs1355";"MEDIUM";"Dark"
"obs1356";"MEDIUM";"Medium"
"obs1357";"LIGHT";"Dark"
"obs1358";"LIGHT";"Medium"
"obs1359";"BLUE";"Dark"
"obs1360";"LIGHT";"Fair"
"obs1361";"MEDIUM";"Medium"
"obs1362";"MEDIUM";"Medium"
"obs1363";"BLUE";"Medium"
"obs1364";"MEDIUM";"Medium"
"obs1365";"LIGHT";"Medium"
"obs1366";"LIGHT";"Red"
"obs1367";"MEDIUM";"Medium"
"obs1368";"BLUE";"Fair"
"obs1369";"DARK";"Dark"
"obs1370";"MEDIUM";"Medium"
"obs1371";"LIGHT";"Medium"
"obs1372";"DARK";"Medium"
"obs1373";"MEDIUM";"Medium"
"obs1374";"BLUE";"Red"
"obs1375";"LIGHT";"Medium"
"obs1376";"BLUE";"Dark"
"obs1377";"LIGHT";"Red"
"obs1378";"BLUE";"Fair"
"obs1379";"MEDIUM";"Medium"
"obs1380";"DARK";"Fair"
"obs1381";"LIGHT";"Dark"
"obs1382";"DARK";"Dark"
"obs1383";"BLUE";"Fair"
"obs1384";"LIGHT";"Dark"
"obs1385";"MEDIUM";"Red"
"obs1386";"DARK";"Dark"
"obs1387";"BLUE";"Medium"
"obs1388";"LIGHT";"Red"
"obs1389";"MEDIUM";"Medium"
"obs1390";"DARK";"Dark"
"obs1391";"MEDIUM";"Medium"
"obs1392";"MEDIUM";"Fair"
"obs1393";"DARK";"Medium"
"obs1394";"DARK";"Medium"
"obs1395";"MEDIUM";"Medium"
"obs1396";"MEDIUM";"Fair"
"obs1397";"MEDIUM";"Medium"
"obs1398";"MEDIUM";"Medium"
"obs1399";"DARK";"Dark"
"obs1400";"LIGHT";"Fair"
"obs1401";"DARK";"Medium"
"obs1402";"LIGHT";"Medium"
"obs1403";"DARK";"Dark"
"obs1404";"MEDIUM";"Medium"
"obs1405";"MEDIUM";"Medium"
"obs1406";"LIGHT";"Red"
"obs1407";"DARK";"Dark"
"obs1408";"LIGHT";"Fair"
"obs1409";"MEDIUM";"Medium"
"obs1410";"BLUE";"Fair"
"obs1411";"MEDIUM";"Medium"
"obs1412";"MEDIUM";"Medium"
"obs1413";"LIGHT";"Red"
"obs1414";"MEDIUM";"Medium"
"obs1415";"LIGHT";"Medium"
"obs1416";"DARK";"Black"
"obs1417";"MEDIUM";"Medium"
"obs1418";"MEDIUM";"Dark"
"obs1419";"DARK";"Fair"
"obs1420";"DARK";"Black"
"obs1421";"MEDIUM";"Medium"
"obs1422";"MEDIUM";"Black"
"obs1423";"MEDIUM";"Medium"
"obs1424";"BLUE";"Fair"
"obs1425";"MEDIUM";"Black"
"obs1426";"LIGHT";"Medium"
"obs1427";"LIGHT";"Fair"
"obs1428";"DARK";"Medium"
"obs1429";"DARK";"Dark"
"obs1430";"MEDIUM";"Medium"
"obs1431";"MEDIUM";"Medium"
"obs1432";"LIGHT";"Fair"
"obs1433";"LIGHT";"Medium"
"obs1434";"LIGHT";"Fair"
"obs1435";"MEDIUM";"Medium"
"obs1436";"MEDIUM";"Medium"
"obs1437";"MEDIUM";"Dark"
"obs1438";"MEDIUM";"Medium"
"obs1439";"BLUE";"Red"
"obs1440";"MEDIUM";"Medium"
"obs1441";"MEDIUM";"Medium"
"obs1442";"LIGHT";"Fair"
"obs1443";"LIGHT";"Medium"
"obs1444";"LIGHT";"Dark"
"obs1445";"LIGHT";"Fair"
"obs1446";"DARK";"Medium"
"obs1447";"LIGHT";"Fair"
"obs1448";"BLUE";"Medium"
"obs1449";"DARK";"Dark"
"obs1450";"MEDIUM";"Black"
"obs1451";"LIGHT";"Fair"
"obs1452";"BLUE";"Medium"
"obs1453";"DARK";"Dark"
"obs1454";"DARK";"Black"
"obs1455";"LIGHT";"Fair"
"obs1456";"DARK";"Dark"
"obs1457";"BLUE";"Fair"
"obs1458";"DARK";"Medium"
"obs1459";"LIGHT";"Fair"
"obs1460";"DARK";"Black"
"obs1461";"DARK";"Black"
"obs1462";"LIGHT";"Medium"
"obs1463";"MEDIUM";"Medium"
"obs1464";"DARK";"Fair"
"obs1465";"DARK";"Dark"
"obs1466";"DARK";"Black"
"obs1467";"MEDIUM";"Medium"
"obs1468";"MEDIUM";"Medium"
"obs1469";"LIGHT";"Dark"
"obs1470";"LIGHT";"Fair"
"obs1471";"DARK";"Medium"
"obs1472";"DARK";"Medium"
"obs1473";"DARK";"Dark"
"obs1474";"DARK";"Dark"
"obs1475";"MEDIUM";"Medium"
"obs1476";"LIGHT";"Medium"
"obs1477";"MEDIUM";"Fair"
"obs1478";"MEDIUM";"Dark"
"obs1479";"MEDIUM";"Medium"
"obs1480";"LIGHT";"Medium"
"obs1481";"MEDIUM";"Medium"
"obs1482";"BLUE";"Fair"
"obs1483";"LIGHT";"Fair"
"obs1484";"LIGHT";"Medium"
"obs1485";"MEDIUM";"Fair"
"obs1486";"BLUE";"Fair"
"obs1487";"MEDIUM";"Dark"
"obs1488";"MEDIUM";"Fair"
"obs1489";"DARK";"Dark"
"obs1490";"BLUE";"Fair"
"obs1491";"MEDIUM";"Dark"
"obs1492";"MEDIUM";"Dark"
"obs1493";"MEDIUM";"Red"
"obs1494";"BLUE";"Dark"
"obs1495";"MEDIUM";"Medium"
"obs1496";"DARK";"Fair"
"obs1497";"MEDIUM";"Fair"
"obs1498";"DARK";"Dark"
"obs1499";"BLUE";"Fair"
"obs1500";"MEDIUM";"Fair"
"obs1501";"LIGHT";"Fair"
"obs1502";"MEDIUM";"Dark"
"obs1503";"DARK";"Medium"
"obs1504";"BLUE";"Dark"
"obs1505";"MEDIUM";"Medium"
"obs1506";"DARK";"Medium"
"obs1507";"DARK";"Black"
"obs1508";"MEDIUM";"Medium"
"obs1509";"LIGHT";"Medium"
"obs1510";"MEDIUM";"Medium"
"obs1511";"DARK";"Dark"
"obs1512";"MEDIUM";"Fair"
"obs1513";"MEDIUM";"Dark"
"obs1514";"MEDIUM";"Red"
"obs1515";"DARK";"Dark"
"obs1516";"DARK";"Dark"
"obs1517";"MEDIUM";"Medium"
"obs1518";"LIGHT";"Medium"
"obs1519";"LIGHT";"Fair"
"obs1520";"MEDIUM";"Medium"
"obs1521";"BLUE";"Medium"
"obs1522";"LIGHT";"Dark"
"obs1523";"DARK";"Dark"
"obs1524";"MEDIUM";"Medium"
"obs1525";"MEDIUM";"Medium"
"obs1526";"DARK";"Dark"
"obs1527";"LIGHT";"Fair"
"obs1528";"LIGHT";"Medium"
"obs1529";"LIGHT";"Fair"
"obs1530";"MEDIUM";"Fair"
"obs1531";"MEDIUM";"Medium"
"obs1532";"LIGHT";"Medium"
"obs1533";"DARK";"Fair"
"obs1534";"MEDIUM";"Dark"
"obs1535";"BLUE";"Fair"
"obs1536";"LIGHT";"Red"
"obs1537";"LIGHT";"Medium"
"obs1538";"DARK";"Black"
"obs1539";"DARK";"Medium"
"obs1540";"MEDIUM";"Fair"
"obs1541";"DARK";"Medium"
"obs1542";"LIGHT";"Medium"
"obs1543";"DARK";"Dark"
"obs1544";"DARK";"Dark"
"obs1545";"DARK";"Black"
"obs1546";"LIGHT";"Fair"
"obs1547";"DARK";"Medium"
"obs1548";"DARK";"Medium"
"obs1549";"MEDIUM";"Dark"
"obs1550";"BLUE";"Fair"
"obs1551";"MEDIUM";"Medium"
"obs1552";"MEDIUM";"Medium"
